"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"14010",14010,"314 PROSPECT ST","1880",971900,"0","0",NA,80,NA,NA,NA,1,NA,NA,NA,0.81,"No Data for Extra Features"
"14011",14011,"MANSFIELD ST",NA,25300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.1,"No Data for Extra Features"
"14012",14012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14013",14013,"310 PROSPECT ST","1896",1204300,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.59,"No Data for Extra Features"
"14014",14014,"300 PROSPECT ST","1924",917200,"7","4","1",73,"Apt / Res Garage, Colonial","Single Family, Single Family","Average, Excellent",2,"None, None","NA, Average","Average, Average",0.77,"3200"
"14015",14015,"282 PROSPECT ST","1896",1012500,"8","3","1",78,"Colonial","Single Family","Superior -",1,"None","Average","Average",0.65,"11000"
"14016",14016,"276 PROSPECT ST","1892",2200300,"0","0",NA,65,NA,NA,NA,38,NA,NA,NA,1.23,"29000"
"14017",14017,"MANSFIELD ST",NA,4900,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.03,"No Data for Extra Features"
"14018",14018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14019",14019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14020",14020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14021",14021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14022",14022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14023",14023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14024",14024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14025",14025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14026",14026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
