"pid","location","city","state","zip"
295,"84 ELIZABETH ANN DR","New Haven","CT",""
296,"88 ELIZABETH ANN DR","New Haven","CT",""
297,"94 ELIZABETH ANN DR","New Haven","CT",""
298,"100 ELIZABETH ANN DR","New Haven","CT",""
299,"104 ELIZABETH ANN DR","New Haven","CT",""
300,"110 ELIZABETH ANN DR","New Haven","CT",""
301,"118 ELIZABETH ANN DR","New Haven","CT",""
302,"124 ELIZABETH ANN DR","New Haven","CT",""
303,"132 ELIZABETH ANN DR","New Haven","CT",""
304,"138 ELIZABETH ANN DR","New Haven","CT",""
305,"146 ELIZABETH ANN DR","New Haven","CT",""
306,"5 MASSACHUSETTS AV","New Haven","CT",""
307,"11 MASSACHUSETTS AV","New Haven","CT",""
308,"MASSACHUSETTS AV","New Haven","CT",""
309,"75 ELIZABETH ANN DR","New Haven","CT",""
310,"55 ELIZABETH ANN DR","New Haven","CT",""
311,"49 ELIZABETH ANN DR","New Haven","CT",""
312,"41 ELIZABETH ANN DR","New Haven","CT",""
313,"35 ELIZABETH ANN DR","New Haven","CT",""
314,"29 ELIZABETH ANN DR","New Haven","CT",""
315,"21 ELIZABETH ANN DR","New Haven","CT",""
316,"15 ELIZABETH ANN DR","New Haven","CT",""
317,"7 ELIZABETH ANN DR","New Haven","CT",""
318,"CLARENDON ST","New Haven","CT",""
319,"147 ELIZABETH ANN DR","New Haven","CT",""
320,"141 ELIZABETH ANN DR","New Haven","CT",""
321,"131 ELIZABETH ANN DR","New Haven","CT",""
322,"125 ELIZABETH ANN DR","New Haven","CT",""
323,"117 ELIZABETH ANN DR","New Haven","CT",""
324,"103 ELIZABETH ANN DR","New Haven","CT",""
325,"109 ELIZABETH ANN DR","New Haven","CT",""
326,"83 ELIZABETH ANN DR","New Haven","CT",""
327,"53 HUNTINGTON RD","New Haven","CT",""
328,"41 HUNTINGTON RD","New Haven","CT",""
329,"37 HUNTINGTON RD","New Haven","CT",""
330,"29 HUNTINGTON RD","New Haven","CT",""
331,"23 HUNTINGTON RD","New Haven","CT",""
332,NA,"New Haven","CT",""
333,"87 CLARENDON ST","New Haven","CT",""
334,"95 CLARENDON ST","New Haven","CT",""
335,"105 CLARENDON ST","New Haven","CT",""
336,"8 ELIZABETH ANN DR","New Haven","CT",""
337,"18 ELIZABETH ANN DR","New Haven","CT",""
338,"28 ELIZABETH ANN DR","New Haven","CT",""
339,"32 ELIZABETH ANN DR","New Haven","CT",""
340,"821 TOWNSEND AV","New Haven","CT",""
341,"29 SOUND VIEW TER","New Haven","CT",""
342,"39 SOUND VIEW TER","New Haven","CT",""
343,"49 SOUND VIEW TER","New Haven","CT",""
344,"59 SOUND VIEW TER","New Haven","CT",""
345,"75 SOUND VIEW TER","New Haven","CT",""
346,"85 SOUND VIEW TER","New Haven","CT",""
347,"95 SOUND VIEW TER","New Haven","CT",""
348,"105 SOUND VIEW TER","New Haven","CT",""
349,"115 SOUND VIEW TER","New Haven","CT",""
350,"125 SOUND VIEW TER","New Haven","CT",""
351,"135 SOUND VIEW TER","New Haven","CT",""
352,"145 SOUND VIEW TER","New Haven","CT",""
353,"4 HORSLEY AV","New Haven","CT",""
354,"2 HORSLEY AV","New Haven","CT",""
355,"HORSLEY AV","New Haven","CT",""
356,"TUTTLE DR","New Haven","CT",""
357,"174 TUTTLE DR","New Haven","CT",""
358,"168 TUTTLE DR","New Haven","CT",""
359,"160 TUTTLE DR","New Haven","CT",""
360,"150 TUTTLE DR","New Haven","CT",""
361,"144 TUTTLE DR","New Haven","CT",""
362,"136 TUTTLE DR","New Haven","CT",""
363,"128 TUTTLE DR","New Haven","CT",""
364,"120 TUTTLE DR","New Haven","CT",""
365,"112 TUTTLE DR","New Haven","CT",""
366,"104 TUTTLE DR","New Haven","CT",""
367,"785 TOWNSEND AV","New Haven","CT",""
368,"795 TOWNSEND AV","New Haven","CT",""
369,"801 TOWNSEND AV","New Haven","CT",""
370,"TOWNSEND AV","New Haven","CT",""
371,"809 TOWNSEND AV","New Haven","CT",""
372,"91 HORSLEY AV","New Haven","CT",""
373,"265 UPSON TER","New Haven","CT",""
374,"285 UPSON TER","New Haven","CT",""
375,"40 HOPKINS DR","New Haven","CT",""
376,"30 HOPKINS DR","New Haven","CT",""
377,"22 HOPKINS DR","New Haven","CT",""
378,"14 HOPKINS DR","New Haven","CT",""
379,"8 HOPKINS DR","New Haven","CT",""
380,"4 HOPKINS DR","New Haven","CT",""
381,"HORSLEY AV","New Haven","CT",""
382,"1 HORSLEY AV","New Haven","CT",""
383,"5 HORSLEY AV","New Haven","CT",""
384,"11 HORSLEY AV","New Haven","CT",""
385,"35 HORSLEY AV","New Haven","CT",""
386,"45 HORSLEY AV","New Haven","CT",""
387,"61 HORSLEY AV","New Haven","CT",""
388,"75 HORSLEY AV","New Haven","CT",""
389,"305 UPSON TER","New Haven","CT",""
390,"335 UPSON TER","New Haven","CT",""
391,"112 HUNTINGTON RD","New Haven","CT",""
392,"120 HUNTINGTON RD","New Haven","CT",""
393,"128 HUNTINGTON RD","New Haven","CT",""
394,"136 HUNTINGTON RD","New Haven","CT",""
395,"144 HUNTINGTON RD","New Haven","CT",""
396,"150 HUNTINGTON RD","New Haven","CT",""
397,"160 HUNTINGTON RD","New Haven","CT",""
398,"HOPKINS DR","New Haven","CT",""
399,"3 HOPKINS DR","New Haven","CT",""
400,"5 HOPKINS DR","New Haven","CT",""
401,"15 HOPKINS DR","New Haven","CT",""
402,"19 HOPKINS DR","New Haven","CT",""
403,"25 HOPKINS DR","New Haven","CT",""
404,"39 HOPKINS DR","New Haven","CT",""
405,"873 TOWNSEND AV","New Haven","CT",""
406,"131 UPSON TER","New Haven","CT",""
407,"20 LEROY TER","New Haven","CT",""
408,"16 LEROY TER","New Haven","CT",""
409,"60 SOUND VIEW TER","New Haven","CT",""
410,"44 SOUND VIEW TER","New Haven","CT",""
411,"30 SOUND VIEW TER","New Haven","CT",""
412,"835 TOWNSEND AV","New Haven","CT",""
413,"845 TOWNSEND AV","New Haven","CT",""
414,"853 TOWNSEND AV","New Haven","CT",""
415,"LEROY TER","New Haven","CT",""
416,"155 UPSON TER","New Haven","CT",""
417,"165 UPSON TER","New Haven","CT",""
418,"175 UPSON TER","New Haven","CT",""
419,"185 UPSON TER","New Haven","CT",""
420,"195 UPSON TER","New Haven","CT",""
421,"205 UPSON TER","New Haven","CT",""
422,"215 UPSON TER","New Haven","CT",""
423,"140 SOUND VIEW TER","New Haven","CT",""
424,"70 HORSLEY AV","New Haven","CT",""
425,"136 SOUND VIEW TER","New Haven","CT",""
426,"126 SOUND VIEW TER","New Haven","CT",""
427,"114 SOUND VIEW TER","New Haven","CT",""
428,"104 SOUND VIEW TER","New Haven","CT",""
429,"92 SOUND VIEW TER","New Haven","CT",""
430,"80 SOUND VIEW TER","New Haven","CT",""
431,"15 LEROY TER","New Haven","CT",""
432,"773 TOWNSEND AV","New Haven","CT",""
433,"105 TUTTLE DR","New Haven","CT",""
434,"115 TUTTLE DR","New Haven","CT",""
435,"123 TUTTLE DR","New Haven","CT",""
436,"129 TUTTLE DR","New Haven","CT",""
437,"139 TUTTLE DR","New Haven","CT",""
438,"147 TUTTLE DR","New Haven","CT",""
439,"155 TUTTLE DR","New Haven","CT",""
440,"167 TUTTLE DR","New Haven","CT",""
441,"171 TUTTLE DR","New Haven","CT",""
442,"110 TOWNSEND TER","New Haven","CT",""
443,"102 TOWNSEND TER","New Haven","CT",""
444,"96 TOWNSEND TER","New Haven","CT",""
445,"90 TOWNSEND TER","New Haven","CT",""
446,"84 TOWNSEND TER","New Haven","CT",""
447,"80 TOWNSEND TER","New Haven","CT",""
448,"72 TOWNSEND TER","New Haven","CT",""
449,"66 TOWNSEND TER","New Haven","CT",""
450,"60 TOWNSEND TER","New Haven","CT",""
451,"52 TOWNSEND TER","New Haven","CT",""
452,"46 TOWNSEND TER","New Haven","CT",""
453,"38 TOWNSEND TER","New Haven","CT",""
454,"30 TOWNSEND TER","New Haven","CT",""
455,"22 TOWNSEND TER","New Haven","CT",""
456,"663 TOWNSEND AV","New Haven","CT",""
457,"701 TOWNSEND AV","New Haven","CT",""
458,"TOWNSEND AV","New Haven","CT",""
459,"709 TOWNSEND AV","New Haven","CT",""
460,"725 TOWNSEND AV","New Haven","CT",""
461,"745 TOWNSEND AV","New Haven","CT",""
462,"757 TOWNSEND AV","New Haven","CT",""
463,"765 TOWNSEND AV","New Haven","CT",""
464,"601 TOWNSEND AV","New Haven","CT",""
465,"23 HALL ST","New Haven","CT",""
466,"27 HALL ST","New Haven","CT",""
467,"33 HALL ST","New Haven","CT",""
468,"41 HALL ST","New Haven","CT",""
469,"47 HALL ST","New Haven","CT",""
470,"55 HALL ST","New Haven","CT",""
471,"61 HALL ST","New Haven","CT",""
472,"65 HALL ST","New Haven","CT",""
473,"71 HALL ST","New Haven","CT",""
474,"77 HALL ST","New Haven","CT",""
475,"83 HALL ST","New Haven","CT",""
476,"89 HALL ST","New Haven","CT",""
477,"95 HALL ST","New Haven","CT",""
478,"103 HALL ST","New Haven","CT",""
479,"105 HALL ST","New Haven","CT",""
